福利,工作标签,城市,学历,工作年限,薪资,公司名称
"带薪年假,做五休二,六险一金,年度体检",[],深圳,大专,5-10年,10k-18k,武汉佰钧成技术有限责任公司
"五险一金,年终奖金,绩效奖金,专业培训","['工具软件', '脚本']",广州,本科,不限,9k-18k,深圳前海新心金融管理有限公司
"季度奖,年终奖,牛人多,环境好","['金融', '脚本']",广州,本科,3-5年,25k-45k,广发证券股份有限公司
"发展空间大,工作弹性,团队氛围好,福利好","['移动互联网', '大数据', 'Web测试', '黑盒测试', '功能测试']",成都,本科,1-3年,6k-8k,成都任我行软件股份有限公司
"五险一金,股权激励,员工食堂,加班补贴","['测试开发', '软件测试']",深圳,本科,3-5年,15k-25k,深圳华锐金融技术股份有限公司
"弹性工作,五险一金,节假日福利,饭补",[],成都,本科,应届毕业生,8k-16k,上海易宝软件有限公司
"六险一金,年底双薪,绩效奖,氛围好",['地图'],西安,本科,3-5年,10k-20k,北京当当网信息技术有限公司
"大牛带,领导好,平台大","['移动互联网', 'Android测试']",北京,本科,3-5年,15k-25k,奇虎360科技有限公司
福利第一 老板好,['汽车'],北京,本科,1-3年,8k-15k,拼途（北京）信息技术有限公司
集团互联网企业 高薪,[],深圳,本科,5-10年,10k-20k,顺丰科技有限公司
"美资,大平台,带薪假15,拒绝打卡",['功能测试'],西安,本科,5-10年,10k-13k,活跃网络（成都）有限公司
"免费午晚餐,弹性工作制,交补",['音乐'],北京,本科,应届毕业生,3k-6k,小叶子（北京）科技有限公司
"五险一金,带薪年假",['脚本'],北京,本科,3-5年,10k-20k,北京瑞友科技股份有限公司
"技术大牛,技术氛围浓,扁平化管理,年假病假",['脚本'],上海,本科,3-5年,15k-25k,上海商米科技有限公司
"明星公司,大牛团队,福利多多,弹性工时",['软件开发'],南京,不限,不限,10k-20k,北京地平线信息技术有限公司
工作标签,学历,城市,公司名称,工作年限,薪资,福利
"['Jmeter', 'Selenium']",大专,重庆,上海捷科智诚科技有限公司,3-5年,8k-15k,带薪年假 加班工资 定期体检 年终奖
['脚本'],大专,上海,上海海万信息科技股份有限公司,3-5年,12k-15k,大平台
"['金融', '脚本']",大专,深圳,深圳市博奥特科技有限公司,5-10年,12k-18k,"周未双休,福田CBD,大咖云集"
"['信息安全', '脚本']",本科,上海,上海微问家信息技术有限公司,1-3年,12k-18k,"绩效奖金,周末双休,多次旅游"
[],本科,上海,爱海企业管理咨询（上海）有限公司,3-5年,15k-30k,"发展好,福利好,氛围好,环境好"
[],不限,西安,西安卓派信息科技有限公司,1-3年,8k-10k,有机会赴美国出差、进修、长期工作
"['功能测试', '性能测试']",本科,北京,北京清众教育科技有限公司,1-3年,10k-15k,"地铁周边,弹性工作,扁平管理,公司氛围好"
"['保险', '大数据', '测试开发']",本科,上海,上海商涌网络科技有限公司,3-5年,15k-20k,"学习成长快,团队氛围好,发展空间大,新兴行业"
[],本科,上海,鑫涌算力信息科技（上海）有限公司,5-10年,15k-25k,"年终奖丰厚,弹性工作,升职加薪,氛围欢快"
"['企业服务', '通信/网络设备', 'Web测试']",本科,武汉,武汉然诺管理咨询有限公司,3-5年,10k-15k,"平台开放,台资企业,五险一金,福利丰富"
['脚本'],本科,上海,上海阑途信息技术有限公司,3-5年,9k-17k,"发展空间大,工作氛围好"
"['移动互联网', 'Server端测试', 'Web测试', '测试开发']",本科,北京,北京旷视科技有限公司,3-5年,15k-25k,"发展平台,公司行业,竞争力薪酬,福利多多"
[],本科,杭州,北京伊电园网络科技有限公司,3-5年,15k-30k,"双休,五险一金,期权,带薪年假"
[],大专,厦门,准动网络科技(厦门)有限公司,3-5年,8k-15k,"团队nic,技术大牛,技术交流,弹性工作"
['Selenium'],本科,广州,广州明动软件股份有限公司,1-3年,8k-12k,"扁平化,技术提升,员工旅游,五险一金"
工作标签,学历,城市,公司名称,工作年限,薪资,福利
['银行'],本科,深圳,上海捷科智诚科技有限公司,不限,7k-14k,"五险一金,补充医疗,加班补贴,出差补贴"
"['信息安全', '脚本']",本科,上海,上海微问家信息技术有限公司,3-5年,12k-24k,"带教师傅,绩效奖金,周末双休,多次旅游"
"['金融', '脚本']",大专,上海,上海海万信息科技股份有限公司,3-5年,10k-15k,"五险一金,年终奖,体检旅游,过节费"
"['功能测试', '性能测试']",大专,上海,上海众纳信息科技有限公司,3-5年,15k-28k,"发展空间大,五险一金,福利好,弹性时间"
"['Web测试', '性能测试', 'app测试']",本科,深圳,深圳市悦动天下科技有限公司,1-3年,8k-16k,"C轮融资,互联网运动,3亿用户,自动化测试"
[],本科,广州,北京智蓝云信科技有限公司,5-10年,15k-25k,"外企,周末双休,五险一金"
"['功能测试', '性能测试']",本科,上海,上海众旦信息科技有限公司,3-5年,15k-25k,"福利待遇优,免费中晚餐,办公环境优,业务发展快"
['脚本'],本科,南京,北京合思信息技术有限公司,3-5年,8k-15k,"成长空间大,工作氛围佳,福利待遇好"
['金融'],大专,上海,上海浦东发展银行股份有限公司信用卡中心,5-10年,15k-30k,"稳定,氛围好,福利好"
['测试开发'],本科,杭州,杭州腾展科技股份有限公司,1-3年,10k-18k,"节日福利,股票期权,扁平管理,发展空间大"
['测试开发'],本科,北京,北京小川在线网络技术有限公司,3-5年,15k-30k,免费三餐、住房补贴、高薪高股
[],本科,上海,再惠（上海）网络科技有限公司,3-5年,13k-25k,"硅谷文化,免费餐饮,弹性工作"
"['电商', '互联网金融', 'IOS测试', 'Android测试', '移动端']",本科,深圳,岩心科技（深圳）有限公司,3-5年,12k-24k,弹性工作 跨国团队 竞争力薪资 高速发展
['脚本'],本科,杭州,浙江天垂科技有限公司,3-5年,10k-20k,"五险一金,技术氛围好,发展空间大,弹性工作制"
['脚本'],本科,北京,北京三快在线科技有限公司,5-10年,25k-40k,技术挑战
工作标签,学历,城市,公司名称,工作年限,薪资,福利
['白盒测试'],不限,北京,上海捷科智诚科技有限公司,不限,10k-20k,"五险一金,加班补助,出差补贴,带薪年假"
['银行'],本科,上海,上海海万信息科技股份有限公司,3-5年,15k-16k,大平台
"['Web测试', 'Windows测试']",本科,上海,上海中软华腾软件系统有限公司,5-10年,12k-18k,"五险一金,带薪年假,平台大,项目好"
['软件测试'],本科,北京,北京天泽智云科技有限公司,5-10年,15k-25k,"六险一金,弹性工作,绩效奖金,各种补贴"
"['云计算', '大数据']",本科,北京,联智科技（北京）有限公司,1-3年,10k-15k,餐补 带薪年假 员工旅游 节日福利
[],本科,北京,仁科互动（北京）信息科技有限公司,5-10年,15k-25k,"硅谷大牛,行业标杆,外企文化,好领导"
"['产品测试', 'Web测试', '移动端']",本科,上海,迪卡侬（上海）体育用品有限公司,3-5年,18k-20k,"自由,健身房,发展机会,完善的培训"
